Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID,Ganzflaechig,Technik_ID
1,1967,1967-10-02T00:00:00,1,1,1,24
2,1967,1967-10-02T00:00:00,2,1,1,24
3,1967,1967-10-02T00:00:00,3,1,1,24
4,1967,1967-10-02T00:00:00,4,1,1,24
5,1967,1967-10-02T00:00:00,5,1,1,24
6,1967,1967-10-02T00:00:00,6,1,1,24
7,1967,1967-10-02T00:00:00,7,1,1,24
8,1967,1967-10-02T00:00:00,8,1,1,24
9,1967,1967-10-02T00:00:00,9,1,1,24
10,1967,1967-10-02T00:00:00,10,1,1,24
11,1967,1967-10-02T00:00:00,11,1,1,24
12,1967,1967-10-02T00:00:00,12,1,1,24
13,1967,1967-10-02T00:00:00,13,1,1,24
14,1967,1967-10-02T00:00:00,14,1,1,24
15,1967,1967-10-02T00:00:00,15,1,1,24
16,1967,1967-10-02T00:00:00,16,1,1,24
17,1967,1967-10-02T00:00:00,22,1,1,24
18,1967,1967-10-02T00:00:00,28,1,1,24
19,1967,1967-10-02T00:00:00,30,1,1,24
20,1967,1967-10-02T00:00:00,26,1,1,24
21,1967,1967-10-02T00:00:00,17,1,1,24
22,1967,1967-10-02T00:00:00,18,1,1,24
23,1967,1967-10-02T00:00:00,19,1,1,24
24,1967,1967-10-02T00:00:00,20,1,1,24
25,1967,1967-10-02T00:00:00,29,1,1,24
26,1967,1967-10-02T00:00:00,31,1,1,24
27,1967,1967-10-02T00:00:00,24,1,1,24
28,1967,1967-10-02T00:00:00,32,1,1,24
29,1967,1967-10-02T00:00:00,25,1,1,24
30,1967,1967-10-02T00:00:00,21,1,1,24
31,1967,1967-10-02T00:00:00,23,1,1,24
32,1967,1967-10-02T00:00:00,27,1,1,24
33,1967,1967-10-02T00:00:00,45,1,1,24
34,1967,1967-10-02T00:00:00,39,1,1,24
35,1967,1967-10-02T00:00:00,37,1,1,24
36,1967,1967-10-02T00:00:00,48,1,1,24
37,1967,1967-10-02T00:00:00,43,1,1,24
38,1967,1967-10-02T00:00:00,41,1,1,24
39,1967,1967-10-02T00:00:00,47,1,1,24
40,1967,1967-10-02T00:00:00,46,1,1,24
41,1967,1967-10-02T00:00:00,33,1,1,24
42,1967,1967-10-02T00:00:00,34,1,1,24
43,1967,1967-10-02T00:00:00,35,1,1,24
44,1967,1967-10-02T00:00:00,36,1,1,24
45,1967,1967-10-02T00:00:00,40,1,1,24
46,1967,1967-10-02T00:00:00,42,1,1,24
47,1967,1967-10-02T00:00:00,44,1,1,24
48,1967,1967-10-02T00:00:00,38,1,1,24
49,1967,1967-10-02T00:00:00,57,1,1,24
50,1967,1967-10-02T00:00:00,63,1,1,24
51,1967,1967-10-02T00:00:00,60,1,1,24
52,1967,1967-10-02T00:00:00,53,1,1,24
53,1967,1967-10-02T00:00:00,61,1,1,24
54,1967,1967-10-02T00:00:00,64,1,1,24
