Duengung_ID,Versuchsjahr,Termin,Parzelle_ID,Duengemittel_ID,Mineralisch,Organisch,Stickstoff_org,Stickstoff_min,Gesamt_Stickstoff,Phosphor,Kalium,Kalzium,Technik_ID
1,1967,1967-01-04T00:00:00,5,4,0,1,155,,,,,,15
2,1967,1967-01-04T00:00:00,6,4,0,1,155,,,,,,15
3,1967,1967-01-04T00:00:00,7,4,0,1,155,,,,,,15
4,1967,1967-01-04T00:00:00,8,4,0,1,155,,,,,,15
5,1967,1967-01-04T00:00:00,9,4,0,1,310,,,,,,15
6,1967,1967-01-04T00:00:00,10,4,0,1,310,,,,,,15
7,1967,1967-01-04T00:00:00,11,4,0,1,310,,,,,,15
8,1967,1967-01-04T00:00:00,12,4,0,1,310,,,,,,15
9,1967,1967-01-04T00:00:00,13,4,0,1,465,,,,,,15
10,1967,1967-01-04T00:00:00,14,4,0,1,465,,,,,,15
11,1967,1967-01-04T00:00:00,15,4,0,1,465,,,,,,15
12,1967,1967-01-04T00:00:00,16,4,0,1,465,,,,,,15
13,1967,1967-01-04T00:00:00,17,4,0,1,155,,,,,,15
14,1967,1967-01-04T00:00:00,18,4,0,1,155,,,,,,15
15,1967,1967-01-04T00:00:00,19,4,0,1,155,,,,,,15
16,1967,1967-01-04T00:00:00,20,4,0,1,155,,,,,,15
17,1967,1967-01-04T00:00:00,29,4,0,1,310,,,,,,15
18,1967,1967-01-04T00:00:00,31,4,0,1,310,,,,,,15
19,1967,1967-01-04T00:00:00,24,4,0,1,310,,,,,,15
20,1967,1967-01-04T00:00:00,32,4,0,1,310,,,,,,15
21,1967,1967-01-04T00:00:00,25,4,0,1,465,,,,,,15
22,1967,1967-01-04T00:00:00,21,4,0,1,465,,,,,,15
23,1967,1967-01-04T00:00:00,23,4,0,1,465,,,,,,15
24,1967,1967-01-04T00:00:00,27,4,0,1,465,,,,,,15
25,1967,1967-01-04T00:00:00,43,4,0,1,155,,,,,,15
26,1967,1967-01-04T00:00:00,41,4,0,1,155,,,,,,15
27,1967,1967-01-04T00:00:00,47,4,0,1,155,,,,,,15
28,1967,1967-01-04T00:00:00,46,4,0,1,155,,,,,,15
29,1967,1967-01-04T00:00:00,33,4,0,1,310,,,,,,15
30,1967,1967-01-04T00:00:00,34,4,0,1,310,,,,,,15
31,1967,1967-01-04T00:00:00,35,4,0,1,310,,,,,,15
32,1967,1967-01-04T00:00:00,36,4,0,1,310,,,,,,15
33,1967,1967-01-04T00:00:00,40,4,0,1,465,,,,,,15
34,1967,1967-01-04T00:00:00,42,4,0,1,465,,,,,,15
35,1967,1967-01-04T00:00:00,44,4,0,1,465,,,,,,15
36,1967,1967-01-04T00:00:00,38,4,0,1,465,,,,,,15
37,1967,1967-01-04T00:00:00,61,4,0,1,155,,,,,,15
38,1967,1967-01-04T00:00:00,64,4,0,1,155,,,,,,15
39,1967,1967-01-04T00:00:00,59,4,0,1,155,,,,,,15
40,1967,1967-01-04T00:00:00,58,4,0,1,155,,,,,,15
41,1967,1967-01-04T00:00:00,54,4,0,1,310,,,,,,15
42,1967,1967-01-04T00:00:00,56,4,0,1,310,,,,,,15
43,1967,1967-01-04T00:00:00,62,4,0,1,310,,,,,,15
44,1967,1967-01-04T00:00:00,55,4,0,1,310,,,,,,15
45,1967,1967-01-04T00:00:00,49,4,0,1,465,,,,,,15
46,1967,1967-01-04T00:00:00,50,4,0,1,465,,,,,,15
47,1967,1967-01-04T00:00:00,51,4,0,1,465,,,,,,15
48,1967,1967-01-04T00:00:00,52,4,0,1,465,,,,,,15
49,1967,1967-03-04T00:00:00,1,6,1,0,,,,0,0,1073,16
50,1967,1967-03-04T00:00:00,2,6,1,0,,,,63,181,1073,16
51,1967,1967-03-04T00:00:00,3,6,1,0,,,,126,361,1073,16
52,1967,1967-03-04T00:00:00,4,6,1,0,,,,190,542,1073,16
53,1967,1967-03-04T00:00:00,5,6,1,0,,,,0,0,1073,16
54,1967,1967-03-04T00:00:00,6,6,1,0,,,,63,181,1073,16
55,1967,1967-03-04T00:00:00,7,6,1,0,,,,126,361,1073,16
56,1967,1967-03-04T00:00:00,8,6,1,0,,,,190,542,1073,16
57,1967,1967-03-04T00:00:00,9,6,1,0,,,,0,0,1073,16
58,1967,1967-03-04T00:00:00,10,6,1,0,,,,63,181,1073,16
59,1967,1967-03-04T00:00:00,11,6,1,0,,,,126,361,1073,16
60,1967,1967-03-04T00:00:00,12,6,1,0,,,,190,542,1073,16
61,1967,1967-03-04T00:00:00,13,6,1,0,,,,0,0,1073,16
62,1967,1967-03-04T00:00:00,14,6,1,0,,,,63,181,1073,16
63,1967,1967-03-04T00:00:00,15,6,1,0,,,,126,361,1073,16
64,1967,1967-03-04T00:00:00,16,6,1,0,,,,190,542,1073,16
65,1967,1967-03-04T00:00:00,22,6,1,0,,,,0,0,1073,16
66,1967,1967-03-04T00:00:00,28,6,1,0,,,,63,181,1073,16
67,1967,1967-03-04T00:00:00,30,6,1,0,,,,126,361,1073,16
68,1967,1967-03-04T00:00:00,26,6,1,0,,,,190,542,1073,16
69,1967,1967-03-04T00:00:00,17,6,1,0,,,,0,0,1073,16
70,1967,1967-03-04T00:00:00,18,6,1,0,,,,63,181,1073,16
71,1967,1967-03-04T00:00:00,19,6,1,0,,,,126,361,1073,16
72,1967,1967-03-04T00:00:00,20,6,1,0,,,,190,542,1073,16
73,1967,1967-03-04T00:00:00,29,6,1,0,,,,0,0,1073,16
74,1967,1967-03-04T00:00:00,31,6,1,0,,,,63,181,1073,16
75,1967,1967-03-04T00:00:00,24,6,1,0,,,,126,361,1073,16
76,1967,1967-03-04T00:00:00,32,6,1,0,,,,190,542,1073,16
77,1967,1967-03-04T00:00:00,25,6,1,0,,,,0,0,1073,16
78,1967,1967-03-04T00:00:00,21,6,1,0,,,,63,181,1073,16
79,1967,1967-03-04T00:00:00,23,6,1,0,,,,126,361,1073,16
80,1967,1967-03-04T00:00:00,27,6,1,0,,,,190,542,1073,16
81,1967,1967-03-04T00:00:00,45,6,1,0,,,,0,0,1073,16
82,1967,1967-03-04T00:00:00,39,6,1,0,,,,63,181,1073,16
83,1967,1967-03-04T00:00:00,37,6,1,0,,,,126,361,1073,16
84,1967,1967-03-04T00:00:00,48,6,1,0,,,,190,542,1073,16
85,1967,1967-03-04T00:00:00,43,6,1,0,,,,0,0,1073,16
86,1967,1967-03-04T00:00:00,41,6,1,0,,,,63,181,1073,16
87,1967,1967-03-04T00:00:00,47,6,1,0,,,,126,361,1073,16
88,1967,1967-03-04T00:00:00,46,6,1,0,,,,190,542,1073,16
89,1967,1967-03-04T00:00:00,33,6,1,0,,,,0,0,1073,16
90,1967,1967-03-04T00:00:00,34,6,1,0,,,,63,181,1073,16
91,1967,1967-03-04T00:00:00,35,6,1,0,,,,126,361,1073,16
92,1967,1967-03-04T00:00:00,36,6,1,0,,,,190,542,1073,16
93,1967,1967-03-04T00:00:00,40,6,1,0,,,,0,0,1073,16
94,1967,1967-03-04T00:00:00,42,6,1,0,,,,63,181,1073,16
95,1967,1967-03-04T00:00:00,44,6,1,0,,,,126,361,1073,16
96,1967,1967-03-04T00:00:00,38,6,1,0,,,,190,542,1073,16
97,1967,1967-03-04T00:00:00,57,6,1,0,,,,0,0,1073,16
98,1967,1967-03-04T00:00:00,63,6,1,0,,,,63,181,1073,16
99,1967,1967-03-04T00:00:00,60,6,1,0,,,,126,361,1073,16
100,1967,1967-03-04T00:00:00,53,6,1,0,,,,190,542,1073,16
101,1967,1967-03-04T00:00:00,61,6,1,0,,,,0,0,1073,16
102,1967,1967-03-04T00:00:00,64,6,1,0,,,,63,181,1073,16
103,1967,1967-03-04T00:00:00,59,6,1,0,,,,126,361,1073,16
104,1967,1967-03-04T00:00:00,58,6,1,0,,,,190,542,1073,16
105,1967,1967-03-04T00:00:00,54,6,1,0,,,,0,0,1073,16
106,1967,1967-03-04T00:00:00,56,6,1,0,,,,63,181,1073,16
107,1967,1967-03-04T00:00:00,62,6,1,0,,,,126,361,1073,16
108,1967,1967-03-04T00:00:00,55,6,1,0,,,,190,542,1073,16
109,1967,1967-03-04T00:00:00,49,6,1,0,,,,0,0,1073,16
110,1967,1967-03-04T00:00:00,50,6,1,0,,,,63,181,1073,16
111,1967,1967-03-04T00:00:00,51,6,1,0,,,,126,361,1073,16
112,1967,1967-03-04T00:00:00,52,6,1,0,,,,190,542,1073,16
113,1967,1967-04-19T00:00:00,2,2,1,0,,100,,,,,16
114,1967,1967-04-19T00:00:00,3,2,1,0,,200,,,,,16
115,1967,1967-04-19T00:00:00,4,2,1,0,,300,,,,,16
116,1967,1967-04-19T00:00:00,6,2,1,0,,100,,,,,16
117,1967,1967-04-19T00:00:00,7,2,1,0,,200,,,,,16
118,1967,1967-04-19T00:00:00,8,2,1,0,,300,,,,,16
119,1967,1967-04-19T00:00:00,10,2,1,0,,100,,,,,16
120,1967,1967-04-19T00:00:00,11,2,1,0,,200,,,,,16
121,1967,1967-04-19T00:00:00,12,2,1,0,,300,,,,,16
122,1967,1967-04-19T00:00:00,14,2,1,0,,100,,,,,16
123,1967,1967-04-19T00:00:00,15,2,1,0,,200,,,,,16
124,1967,1967-04-19T00:00:00,16,2,1,0,,300,,,,,16
125,1967,1967-04-19T00:00:00,28,2,1,0,,100,,,,,16
126,1967,1967-04-19T00:00:00,30,2,1,0,,200,,,,,16
127,1967,1967-04-19T00:00:00,26,2,1,0,,300,,,,,16
128,1967,1967-04-19T00:00:00,18,2,1,0,,100,,,,,16
129,1967,1967-04-19T00:00:00,19,2,1,0,,200,,,,,16
130,1967,1967-04-19T00:00:00,20,2,1,0,,300,,,,,16
131,1967,1967-04-19T00:00:00,31,2,1,0,,100,,,,,16
132,1967,1967-04-19T00:00:00,24,2,1,0,,200,,,,,16
133,1967,1967-04-19T00:00:00,32,2,1,0,,300,,,,,16
134,1967,1967-04-19T00:00:00,21,2,1,0,,100,,,,,16
135,1967,1967-04-19T00:00:00,23,2,1,0,,200,,,,,16
136,1967,1967-04-19T00:00:00,27,2,1,0,,300,,,,,16
137,1967,1967-04-19T00:00:00,39,2,1,0,,100,,,,,16
138,1967,1967-04-19T00:00:00,37,2,1,0,,200,,,,,16
139,1967,1967-04-19T00:00:00,48,2,1,0,,300,,,,,16
140,1967,1967-04-19T00:00:00,41,2,1,0,,100,,,,,16
141,1967,1967-04-19T00:00:00,47,2,1,0,,200,,,,,16
142,1967,1967-04-19T00:00:00,46,2,1,0,,300,,,,,16
143,1967,1967-04-19T00:00:00,34,2,1,0,,100,,,,,16
144,1967,1967-04-19T00:00:00,35,2,1,0,,200,,,,,16
145,1967,1967-04-19T00:00:00,36,2,1,0,,300,,,,,16
146,1967,1967-04-19T00:00:00,42,2,1,0,,100,,,,,16
147,1967,1967-04-19T00:00:00,44,2,1,0,,200,,,,,16
148,1967,1967-04-19T00:00:00,38,2,1,0,,300,,,,,16
149,1967,1967-04-19T00:00:00,63,2,1,0,,100,,,,,16
150,1967,1967-04-19T00:00:00,60,2,1,0,,200,,,,,16
151,1967,1967-04-19T00:00:00,53,2,1,0,,300,,,,,16
152,1967,1967-04-19T00:00:00,64,2,1,0,,100,,,,,16
153,1967,1967-04-19T00:00:00,59,2,1,0,,200,,,,,16
154,1967,1967-04-19T00:00:00,58,2,1,0,,300,,,,,16
155,1967,1967-04-19T00:00:00,56,2,1,0,,100,,,,,16
156,1967,1967-04-19T00:00:00,62,2,1,0,,200,,,,,16
157,1967,1967-04-19T00:00:00,55,2,1,0,,300,,,,,16
158,1967,1967-04-19T00:00:00,50,2,1,0,,100,,,,,16
159,1967,1967-04-19T00:00:00,51,2,1,0,,200,,,,,16
160,1967,1967-04-19T00:00:00,52,2,1,0,,300,,,,,16
161,1968,1968-03-28T00:00:00,2,2,1,0,,55,,,,,16
162,1968,1968-03-28T00:00:00,3,2,1,0,,110,,,,,16
163,1968,1968-03-28T00:00:00,4,2,1,0,,165,,,,,16
164,1968,1968-03-28T00:00:00,6,2,1,0,,55,,,,,16
165,1968,1968-03-28T00:00:00,7,2,1,0,,110,,,,,16
166,1968,1968-03-28T00:00:00,8,2,1,0,,165,,,,,16
167,1968,1968-03-28T00:00:00,10,2,1,0,,55,,,,,16
168,1968,1968-03-28T00:00:00,11,2,1,0,,110,,,,,16
169,1968,1968-03-28T00:00:00,12,2,1,0,,165,,,,,16
170,1968,1968-03-28T00:00:00,14,2,1,0,,55,,,,,16
171,1968,1968-03-28T00:00:00,15,2,1,0,,110,,,,,16
172,1968,1968-03-28T00:00:00,16,2,1,0,,165,,,,,16
173,1968,1968-03-28T00:00:00,28,2,1,0,,55,,,,,16
174,1968,1968-03-28T00:00:00,30,2,1,0,,110,,,,,16
175,1968,1968-03-28T00:00:00,26,2,1,0,,165,,,,,16
176,1968,1968-03-28T00:00:00,18,2,1,0,,55,,,,,16
177,1968,1968-03-28T00:00:00,19,2,1,0,,110,,,,,16
178,1968,1968-03-28T00:00:00,20,2,1,0,,165,,,,,16
179,1968,1968-03-28T00:00:00,31,2,1,0,,55,,,,,16
180,1968,1968-03-28T00:00:00,24,2,1,0,,110,,,,,16
181,1968,1968-03-28T00:00:00,32,2,1,0,,165,,,,,16
182,1968,1968-03-28T00:00:00,21,2,1,0,,55,,,,,16
183,1968,1968-03-28T00:00:00,23,2,1,0,,110,,,,,16
184,1968,1968-03-28T00:00:00,27,2,1,0,,165,,,,,16
185,1968,1968-03-28T00:00:00,39,2,1,0,,55,,,,,16
186,1968,1968-03-28T00:00:00,37,2,1,0,,110,,,,,16
187,1968,1968-03-28T00:00:00,48,2,1,0,,165,,,,,16
188,1968,1968-03-28T00:00:00,41,2,1,0,,55,,,,,16
189,1968,1968-03-28T00:00:00,47,2,1,0,,110,,,,,16
190,1968,1968-03-28T00:00:00,46,2,1,0,,165,,,,,16
191,1968,1968-03-28T00:00:00,34,2,1,0,,55,,,,,16
192,1968,1968-03-28T00:00:00,35,2,1,0,,110,,,,,16
193,1968,1968-03-28T00:00:00,36,2,1,0,,165,,,,,16
194,1968,1968-03-28T00:00:00,42,2,1,0,,55,,,,,16
195,1968,1968-03-28T00:00:00,44,2,1,0,,110,,,,,16
196,1968,1968-03-28T00:00:00,38,2,1,0,,165,,,,,16
197,1968,1968-03-28T00:00:00,63,2,1,0,,55,,,,,16
198,1968,1968-03-28T00:00:00,60,2,1,0,,110,,,,,16
199,1968,1968-03-28T00:00:00,53,2,1,0,,165,,,,,16
200,1968,1968-03-28T00:00:00,64,2,1,0,,55,,,,,16
201,1968,1968-03-28T00:00:00,59,2,1,0,,110,,,,,16
202,1968,1968-03-28T00:00:00,58,2,1,0,,165,,,,,16
203,1968,1968-03-28T00:00:00,56,2,1,0,,55,,,,,16
204,1968,1968-03-28T00:00:00,62,2,1,0,,110,,,,,16
205,1968,1968-03-28T00:00:00,55,2,1,0,,165,,,,,16
206,1968,1968-03-28T00:00:00,50,2,1,0,,55,,,,,16
207,1968,1968-03-28T00:00:00,51,2,1,0,,110,,,,,16
208,1968,1968-03-28T00:00:00,52,2,1,0,,165,,,,,16
209,1969,1968-08-19T00:00:00,5,4,0,1,125,,,,,,15
210,1969,1968-08-19T00:00:00,6,4,0,1,125,,,,,,15
211,1969,1968-08-19T00:00:00,7,4,0,1,125,,,,,,15
212,1969,1968-08-19T00:00:00,8,4,0,1,125,,,,,,15
213,1969,1968-08-19T00:00:00,9,4,0,1,250,,,,,,15
214,1969,1968-08-19T00:00:00,10,4,0,1,250,,,,,,15
215,1969,1968-08-19T00:00:00,11,4,0,1,250,,,,,,15
216,1969,1968-08-19T00:00:00,12,4,0,1,250,,,,,,15
217,1969,1968-08-19T00:00:00,13,4,0,1,375,,,,,,15
218,1969,1968-08-19T00:00:00,14,4,0,1,375,,,,,,15
219,1969,1968-08-19T00:00:00,15,4,0,1,375,,,,,,15
220,1969,1968-08-19T00:00:00,16,4,0,1,375,,,,,,15
221,1969,1968-08-19T00:00:00,17,4,0,1,125,,,,,,15
222,1969,1968-08-19T00:00:00,18,4,0,1,125,,,,,,15
223,1969,1968-08-19T00:00:00,19,4,0,1,125,,,,,,15
224,1969,1968-08-19T00:00:00,20,4,0,1,125,,,,,,15
225,1969,1968-08-19T00:00:00,29,4,0,1,250,,,,,,15
226,1969,1968-08-19T00:00:00,31,4,0,1,250,,,,,,15
227,1969,1968-08-19T00:00:00,24,4,0,1,250,,,,,,15
228,1969,1968-08-19T00:00:00,32,4,0,1,250,,,,,,15
229,1969,1968-08-19T00:00:00,25,4,0,1,375,,,,,,15
