Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID,Bemerkungen_ID
1,1987,1986-07-24T00:00:00,1,10,2,9,
2,1987,1986-07-24T00:00:00,2,10,2,9,
3,1987,1986-07-24T00:00:00,3,10,2,9,
4,1987,1986-07-24T00:00:00,4,10,2,9,
5,1987,1986-07-24T00:00:00,5,10,2,9,
6,1987,1986-07-24T00:00:00,6,10,2,9,
7,1987,1986-07-24T00:00:00,7,10,2,9,
8,1987,1986-07-24T00:00:00,8,10,2,9,
9,1987,1986-07-24T00:00:00,9,10,2,9,
10,1987,1986-07-24T00:00:00,10,10,2,9,
11,1987,1986-07-24T00:00:00,11,10,2,9,
12,1987,1986-07-24T00:00:00,12,10,2,9,
13,1987,1986-07-24T00:00:00,13,10,2,9,
14,1987,1986-07-24T00:00:00,14,10,2,9,
15,1987,1986-07-24T00:00:00,15,10,2,9,
16,1987,1986-07-24T00:00:00,16,10,2,9,
17,1987,1986-07-24T00:00:00,17,10,2,9,
18,1987,1986-07-24T00:00:00,18,10,2,9,
19,1987,1986-07-24T00:00:00,19,10,2,9,
20,1987,1986-07-24T00:00:00,20,10,2,9,
21,1987,1986-07-24T00:00:00,21,10,2,9,
22,1987,1986-07-24T00:00:00,22,10,2,9,
23,1987,1986-07-24T00:00:00,23,10,2,9,
24,1987,1986-07-24T00:00:00,24,10,2,9,
25,1987,1986-07-24T00:00:00,25,10,2,9,
26,1987,1986-07-24T00:00:00,26,10,2,9,
27,1987,1986-07-24T00:00:00,27,10,2,9,
28,1987,1986-07-24T00:00:00,28,10,2,9,
29,1987,1986-07-24T00:00:00,29,10,2,9,
30,1987,1986-07-24T00:00:00,30,10,2,9,
31,1987,1986-07-24T00:00:00,31,10,2,9,
32,1987,1986-07-24T00:00:00,32,10,2,9,
33,1987,1986-07-24T00:00:00,33,10,2,9,
34,1987,1986-07-24T00:00:00,34,10,2,9,
35,1987,1986-07-24T00:00:00,35,10,2,9,
36,1987,1986-07-24T00:00:00,36,10,2,9,
37,1987,1986-07-24T00:00:00,37,10,2,9,
38,1987,1986-07-24T00:00:00,38,10,2,9,
